"Inventarnummer","Joins","Image-link","Publikation","CTH","Fundort","Zeit","TLHdig","Anmerkungen"
"621/c",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=621/c)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=621%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=621%2Fc)","KUB 29.26","292.I.b | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","Bk. A:  Gr. Geb., Raum 5, Mitte, im Tablettenschutt.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.26)","s. H.A. Hoffner, Laws, 1997 (Sigel o). ↂ s. H.A. Hoffner, Laws, 1997 (Sigel o)."
"621/c","(+)333/f","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=333%2Ff); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=333%2Ff)","KUB 29.27",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Büyükkale v/10. Raum 6 d. Magazins, Nordteil in der Fußbodenstampfung. - Hellroter gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.27)","."
"684/c",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=684%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=684%2Fc)","KBo 31.65","292.II | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","Bk. A:  Gr. Geb., Raum 5, Mitte, im Tablettenschutt. - [hellbraun, weicher Ton]","k.A.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.65)","s. H.G. Güterbock, WO 11, 1980, 91f. (mit Autographie) und H.A. Hoffner, Laws, 1997 (Sigel w);  ↂ s. H.G. Güterbock, WO 11, 1980, 91f. (mit Autographie) und H.A. Hoffner, Laws, 1997 (Sigel w); vgl. H. Berman, Diss., 1972, 197."
"788/c",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=788/c)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=788%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=788%2Fc)","KUB 29.34","292.I.b.D | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","Bk. A:  Gr. Geb., Raum 5, Mitte, im Tablettenschutt.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.34)","s. H.A. Hoffner, Laws, 1997 (Sigel y);  ↂ s. H.A. Hoffner, Laws, 1997 (Sigel y); vgl. P. Goedegebuure, StBoT 55, 2014, 367, 380."
"788/c","+1314/c","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1314%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=1314%2Fc)","KUB 29.37",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gro. Geb., Raum 5, Nordteil, Tabl.-Schutt.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.37)","."
"845/c",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=845/c)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=845%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=845%2Fc)","KBo 25.85 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=25&n=85)","292.I.A | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","Bk. A:  Gr. Geb., Raum 5, nördl. Mitte, Tablettenschutt.","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 25.85)","s. E. von Schuler, TUAT I/1, 1982, 112-123; H.A. Hoffner, Laws, 1997, Sigel aa; id., apud M.T. Roth, LCMAM, 1995, 213-247; id., FsWatkins, 1998, 276f.; Joinskizze H.G. Güterbock, JCS 16, 1962, 18-21. Zu KBo 25.5 (= 252/c) v. H.A. Hoffner, JCS 33, 1981, 206ff.;  ↂ s. E. von Schuler, TUAT I/1, 1982, 112-123; H.A. Hoffner, Laws, 1997, Sigel aa; id., apud M.T. Roth, LCMAM, 1995, 213-247; id., FsWatkins, 1998, 276f.; Joinskizze H.G. Güterbock, JCS 16, 1962, 18-21. Zu KBo 25.5 (= 252/c) v. H.A. Hoffner, JCS 33, 1981, 206ff.; vgl. E. Neu, StBoT 18, 1974, 106f.; F. Starke, StBoT 23, 1977, 30; id., StBoT 41, 1995, 24 Anm. 62; S. Košak, StBoT 34, 1992, sub 23/a; J. Klinger, StBoT 37, 1996, 673; H. Klengel, HbOr I/34, 1999, 60 [A7]; E. Rieken, StBoT 44, 1999, 159; A. Hagenbuchner-Dresel, DBH 1, 2002, 2 Anm. 7; P. Goedegebuure, Diss., 2003, 309; ead., StBoT 55, 2014, 351, 369; ead., FsYoshida, 2019, 64; E.J. Buis, RANT 4, 2007, 176f.; S. Jackson, GDNES, 2008, 42 und passim; A. Kloekhorst, StBoT 56, 2014, 50 Anm. 134; G. Inglese, Subordination, 2016, 72f., 91. | KBo 25.5 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 25.5); 252/c (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=252/c); KBo 25.5 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 25.5); 252/c (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=252/c); 23/a (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=23/a)"
"845/c","(+)23/a","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=23%2Fa)","KUB 29.25",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Geb. A, Rm. 4","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.25)","."
"845/c","(+)53/a","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=53%2Fa)","KUB 29.35",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Geb. A, Rm. 4","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.35)","."
"845/c","(+)116/b","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=116%2Fb)","KUB 29.38",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  grosses Gebäude, Raum 3","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.38)","."
"845/c","(+)417/b","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=417%2Fb)","KUB 29.28",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  grosses Gebäude, Raum 5, T.-Schutt, nordwestl. Viertel","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.28)","."
"845/c","+774/b","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=774%2Fb)","KUB 29.36",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  grosses Gebäude, Raum 4, T.-Schutt, nördl. Hälfte","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.36)","."
"845/c","+252/c","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=252%2Fc)","KBo 25.5 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=25&n=5)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Geb., Raum 5, längs der Südhälfte der Ostwand, im Tablettenschutt.","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 25.5)","."
"845/c","+849/c","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=849%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=849%2Fc)","KUB 29.29",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Geb., Raum 5, nördl. Mitte, Tablettenschutt.","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.29)","."
"845/c","+863/c","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=863%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=863%2Fc)","KUB 29.29",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Geb., Raum 5, nördl. Mitte, Tablettenschutt.","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.29)","."
"845/c","+972/c","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=972%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=972%2Fc)","KUB 29.32",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Geb., Raum 6, Mitte, Tabl.-Schutt.","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.32)","."
"845/c","+1096/c","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1096%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=1096%2Fc)","KUB 29.30",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Geb., Raum 6, Mitte, Tabl.-Schutt.","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.30)","."
"845/c","+360/f","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=360%2Ff); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=360%2Ff)","KUB 29.30",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Büyükkale v/10. Raum 6 d. Magazins, Nordteil, in der Fußbodenstampfung. - Ziegelroter gebr. Ton","ah.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.30)","."
"2155/c",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=2155/c)","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2155%2Fc)","KBo 31.49","297.3 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","Bk. E:  Mauerkasten in g 14.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.49)","ↂ  vgl. R.H. Beal, THeth 20, 1992, 388 Anm. 1468; Th. van den Hout, StBoT 38, 1995, 167; Ch. Lebrun, PIOL 66, 2014, 53-55."
"2155/c","+Bo 4969","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%204969)","KUB 23.91",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. E *:  Fundort bestimmt durch Join - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 23.91)","."
"2155/c","+Bo 5957","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=Bo%205957)","KUB 23.91",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. E *:  Fundort bestimmt durch Join - [In Istanbul]","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 23.91)","."
"2190/c",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2190%2Fc)","KBo 31.46","294 | 294 (javascript:inf('../CTH/cthfix.php?c=294','CTH'))","Bk. E:  Mauerkasten in g 14.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.46)","CTH-Bestimmung J. Miller (12.01.2024);
 s. N. Tani, GsImparati, 2002, 834f. (Druckfehler KUB 31.46!). ↂ s. N. Tani, GsImparati, 2002, 834f. (Druckfehler KUB 31.46!). | KUB 31.46 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 31.46); KUB 31.46 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 31.46)"
"2198/c",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2198%2Fc)","KBo 31.43","294.4 | 294 (javascript:inf('../CTH/cthfix.php?c=294','CTH'))","Bk. E:  ""Archivgebäude"", Raum 2, Füllung des oberen Mauerkastens.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.43)","s. R. Werner, StBoT 4, 1967, 72f.; N. Tani, GsImparati, 2002, 828, erwägt eine Zugehörigkeit zu 137/r++. ↂ s. R. Werner, StBoT 4, 1967, 72f.; N. Tani, GsImparati, 2002, 828, erwägt eine Zugehörigkeit zu 137/r++. | 137/r (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=137/r); 137/r (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=137/r)"
"2221/c",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2221%2Fc)","KBo 21.35 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=21&n=35)","297 | 297 (javascript:inf('../CTH/cthfix.php?c=297','CTH'))","Bk. E:  Mauerkasten in g 14.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 21.35)","ↂ  vgl. H.A. Hoffner, FsGordon, 1974, 89f.; A. Ünal, THeth 6, 1978, 108f.; V. Haas, HbOr I/15, 1994, 220 Anm. 221."
"2270/c",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2270%2Fc)","KBo 31.44","295 | 295 (javascript:inf('../CTH/cthfix.php?c=295','CTH'))","Bk. E:  ""Archivgebäude"", Raum 3, Füllung des oberen Mauerkastens.","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.44)","s. N. Tani, GsImparati, 2002, 827ff. (erwägt Zugehörigkeit zu KUB 40.91 (= Bo 5503) (+) KUB 60.103 (= Bo 1750) (+) KUB 40.87 (= Bo 7963));  ↂ s. N. Tani, GsImparati, 2002, 827ff. (erwägt Zugehörigkeit zu KUB 40.91 (= Bo 5503) (+) KUB 60.103 (= Bo 1750) (+) KUB 40.87 (= Bo 7963)); vgl. M. Weeden, StBoT 54, 2011, 277. | KUB 40.91 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 40.91); Bo 5503 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=Bo 5503); KUB 60.103 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 60.103); Bo 1750 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=Bo 1750); KUB 40.87 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 40.87); Bo 7963 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=Bo 7963); KUB 40.91 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 40.91); Bo 5503 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=Bo 5503); KUB 60.103 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 60.103); Bo 1750 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=Bo 1750); KUB 40.87 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 40.87); Bo 7963 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?iv=Bo 7963)"
"2627/c",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2627%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=2627%2Fc)","KUB 29.13","291.I.a.C | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","Bk. E:  An der westlichen Burgmauer, nördl. vom ""Archivgeb."".","k.A.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.13)","s. H.A. Hoffner, Laws, 1997, Sigel K. ↂ s. H.A. Hoffner, Laws, 1997, Sigel K."
"2772/c",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2772%2Fc)","KBo 31.42","294 | 294 (javascript:inf('../CTH/cthfix.php?c=294','CTH'))","Bk. E:  Westl. Burgmauer, Makridis ""Archivgebäude"".","sjh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 31.42)","s. N. Tani, GsImparati, 2002, 834f. (verschrieben als KUB 31.42);  ↂ s. N. Tani, GsImparati, 2002, 834f. (verschrieben als KUB 31.42); vgl. A. Nikolaev, JAOS 139, 2019, 183. | KUB 31.42 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 31.42); KUB 31.42 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 31.42)"
"39/e",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=39/e)","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=39%2Fe)","KUB 29.14","291.II.a | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","Bk. A:  Büyükkale t/9-10. Bis 0,5 m tief. - Hellroter gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.14)","s. H.A. Hoffner, Laws, 1997 (Sigel L);  ↂ s. H.A. Hoffner, Laws, 1997 (Sigel L); vgl. A. Kammenhuber, 1974 = THeth 19/2, 1993, 540ff.; J. Puhvel, GsKlíma, 1994, 216; P. Goedegebuure, StBoT 55, 2014, 375; B. Christiansen, ZAR 21, 2015, 54; G. Torri  F.G. Barsacchi, DBH 50, 2018, 54f."
"39/e","(+)47/t","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=47%2Ft); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=47%2Ft)","KBo 12.49 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=12&n=49)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","HaH:  L/18 b/6, im nachheth. Bereich. - Roter gebr. Ton","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 12.49)","."
